"","Var1","Freq"
"1","Lamp5",2529
"2","Sncg",761
"3","Vip",3149
"4","Sst Chodl",89
"5","Sst",2773
"6","Pvalb",1141
"7","L4 RSP-ACA",481
"8","L4/5 IT CTX",7791
"9","L2/3 IT PPP",2067
"10","L2/3 IT CTX",6622
"11","L6 IT CTX",5590
"12","L5 PT CTX",961
"13","L5/6 IT TPE-ENT",41
"14","L2/3 IT RHP",12
"15","L5 IT CTX",6228
"16","L5/6 NP CTX",2396
"17","L6 CT CTX",13510
"18","L6b CTX",964
"19","CA2-IG-FC",191
"20","CR",7
"21","Astro",85
"22","Oligo",177
"23","SMC-Peri",8
"24","Micro-PVM",19
"25","Endo",22
"26","VLMC",5
"27","CT SUB",5
"28","NP SUB",12
"29","L2 IT ENTl",1
"30","NP PPP",1
