"","Var1","Freq"
"1","Lamp5",2700
"2","Sncg",1041
"3","Vip",2662
"4","Sst Chodl",245
"5","Sst",4321
"6","Pvalb",2610
"7","L6 IT CTX",4189
"8","L4/5 IT CTX",7656
"9","L5 IT CTX",2080
"10","L5/6 IT TPE-ENT",158
"11","L5 PT CTX",506
"12","L5/6 NP CTX",2530
"13","Car3",5253
"14","Oligo",624
"15","L6 CT CTX",9441
"16","L2/3 IT CTX",4638
"17","L6b CTX",341
"18","Astro",114
"19","L2 IT ENTl",298
"20","CR",8
"21","Endo",21
"22","Micro-PVM",14
"23","L2/3 IT ENTl",385
"24","L6 IT ENTl",13
"25","VLMC",4
"26","L6b/CT ENT",1
"27","L2/3 IT PPP",2
"28","SMC-Peri",1
