"","Var1","Freq"
"1","Lamp5",2033
"2","Sncg",527
"3","Vip",2072
"4","Sst Chodl",134
"5","Sst",2403
"6","Pvalb",1435
"7","L2/3 IT CTX",9346
"8","L6 IT CTX",5751
"9","L4/5 IT CTX",26421
"10","L5 IT CTX",3259
"11","L5 PT CTX",871
"12","L5/6 NP CTX",2245
"13","L6 CT CTX",7659
"14","L6b CTX",992
"15","Car3",4013
"16","CR",2
"17","Oligo",713
"18","Astro",114
"19","SMC-Peri",8
"20","L5/6 IT TPE-ENT",54
"21","Endo",40
"22","Micro-PVM",13
"23","L2/3 IT ENTl",2
"24","VLMC",12
"25","L2/3 IT PPP",1
"26","L6 IT ENTl",2
