"","Var1","Freq"
"1","Lamp5",2127
"2","Sncg",1269
"3","L4/5 IT CTX",453
"4","Vip",1312
"5","Sst",2031
"6","Pvalb",2463
"7","L2 IT ENTl",4172
"8","L2/3 IT PPP",3065
"9","L2 IT ENTm",2111
"10","L2/3 IT ENTl",5817
"11","L2/3 IT RHP",1112
"12","L2/3 IT CTX",299
"13","L3 IT ENT",12748
"14","L5 PT CTX",57
"15","L5/6 IT TPE-ENT",2237
"16","L6 IT CTX",427
"17","L6 IT ENTl",1123
"18","L5 IT CTX",69
"19","L6b/CT ENT",15219
"20","SUB-ProS",16
"21","NP SUB",28
"22","NP PPP",638
"23","L6b CTX",1102
"24","L5/6 NP CTX",34
"25","L6 CT CTX",133
"26","L5 PPP",52
"27","CT SUB",499
"28","Car3",107
"29","CR",53
"30","Oligo",211
"31","Astro",239
"32","Endo",36
"33","VLMC",16
"34","Micro-PVM",37
"35","Sst Chodl",70
"36","L4 RSP-ACA",1
"37","CA1-ProS",14
"38","SMC-Peri",10
