"","Var1","Freq"
"1","Lamp5",1314
"2","Sncg",253
"3","Vip",250
"4","Sst",94
"5","Pvalb",55
"6","DG",54518
"7","L2/3 IT ENTl",4
"8","CA1-ProS",12760
"9","CA2-IG-FC",134
"10","CA3",1644
"11","CR",33
"12","Astro",437
"13","Oligo",431
"14","Micro-PVM",55
"15","Endo",66
"16","SUB-ProS",137
"17","NP SUB",86
"18","L6 CT CTX",1
"19","SMC-Peri",19
"20","VLMC",17
"21","Sst Chodl",4
"22","L5 PT CTX",1
"23","L4/5 IT CTX",2
"24","L6 IT CTX",1
"25","L2/3 IT PPP",8
"26","L2/3 IT RHP",11
"27","CT SUB",7
"28","L6b CTX",1
