"","Var1","Freq"
"1","Lamp5",1137
"2","Sncg",682
"3","Vip",1335
"4","Sst Chodl",22
"5","Sst",1284
"6","Pvalb",1277
"7","L2/3 IT PPP",19866
"8","NP SUB",1697
"9","L4/5 IT CTX",116
"10","L5 IT CTX",22
"11","L6 IT CTX",186
"12","CT SUB",5100
"13","NP PPP",1942
"14","L2/3 IT RHP",1899
"15","L5/6 IT TPE-ENT",93
"16","SUB-ProS",3905
"17","L5 PT CTX",59
"18","CA1-ProS",2736
"19","L2/3 IT CTX",19
"20","L5/6 NP CTX",48
"21","L6b CTX",1017
"22","L5 PPP",1110
"23","L6b/CT ENT",3843
"24","L6 CT CTX",112
"25","CR",43
"26","Astro",146
"27","Oligo",323
"28","SMC-Peri",11
"29","Endo",25
"30","VLMC",8
"31","L2 IT ENTm",98
"32","L4 RSP-ACA",19
"33","DG",188
"34","Micro-PVM",38
"35","L3 IT ENT",111
"36","L2/3 IT ENTl",13
