"","Var1","Freq"
"1","Lamp5",1424
"2","Sncg",835
"3","L4/5 IT CTX",5026
"4","Vip",1974
"5","Sst Chodl",162
"6","Sst",3018
"7","Pvalb",1627
"8","L2/3 IT CTX",3977
"9","L5 PT CTX",2231
"10","L6 IT CTX",6616
"11","L5 IT CTX",3125
"12","L5/6 IT TPE-ENT",296
"13","L5/6 NP CTX",1996
"14","L6 CT CTX",12866
"15","L6b CTX",1087
"16","Car3",276
"17","CR",24
"18","Astro",126
"19","Oligo",669
"20","Endo",27
"21","Micro-PVM",36
"22","SMC-Peri",10
"23","L2/3 IT ENTl",11
"24","L2/3 IT RHP",2
"25","NP SUB",2
"26","L2 IT ENTl",1
