"","Var1","Freq"
"1","Lamp5",1330
"2","Sncg",333
"3","Vip",1236
"4","Sst",1404
"5","Pvalb",542
"6","L4 RSP-ACA",2978
"7","L4/5 IT CTX",3687
"8","L2/3 IT PPP",13921
"9","L2/3 IT CTX",5651
"10","L6 IT CTX",1759
"11","L5 IT CTX",3465
"12","L5 PT CTX",839
"13","L5/6 NP CTX",1701
"14","L6 CT CTX",5899
"15","L6b CTX",82
"16","CR",3
"17","Oligo",363
"18","Astro",116
"19","SMC-Peri",6
"20","Endo",25
"21","Micro-PVM",7
"22","L5/6 IT TPE-ENT",16
"23","CT SUB",7
"24","Sst Chodl",11
"25","L6b/CT ENT",7
"26","NP SUB",23
"27","NP PPP",9
"28","SUB-ProS",15
"29","DG",1
"30","L5 PPP",1
