"","Var1","Freq"
"1","Lamp5",1447
"2","Vip",1373
"3","Sncg",347
"4","L4/5 IT CTX",14671
"5","Sst Chodl",100
"6","Sst",1672
"7","Pvalb",1258
"8","L2/3 IT CTX",6395
"9","L2/3 IT ENTl",20
"10","L2 IT ENTl",12
"11","L6 IT CTX",3370
"12","L5/6 IT TPE-ENT",100
"13","L5 IT CTX",1619
"14","L5 PT CTX",548
"15","L5/6 NP CTX",1651
"16","L6 CT CTX",6965
"17","L6b CTX",483
"18","Car3",3126
"19","Oligo",748
"20","Astro",272
"21","SMC-Peri",17
"22","Endo",64
"23","VLMC",24
"24","Micro-PVM",44
"25","L6 IT ENTl",10
"26","L6b/CT ENT",2
"27","CR",1
