"","Var1","Freq"
"1","Lamp5",2585
"2","Sncg",755
"3","Vip",2250
"4","Sst Chodl",155
"5","Sst",3139
"6","Pvalb",2655
"7","L2/3 IT PPP",7
"8","L2/3 IT RHP",5
"9","L2/3 IT CTX",6802
"10","L2/3 IT ENTl",77
"11","L2 IT ENTl",15
"12","L3 IT ENT",337
"13","L4/5 IT CTX",6861
"14","L5 PT CTX",1775
"15","L6 IT CTX",3074
"16","L6 IT ENTl",43
"17","L5/6 IT TPE-ENT",2079
"18","L5 IT CTX",1012
"19","L5/6 NP CTX",1413
"20","L6 CT CTX",8248
"21","L6b/CT ENT",882
"22","L6b CTX",1587
"23","Car3",5823
"24","Oligo",558
"25","Astro",92
"26","SMC-Peri",6
"27","Endo",18
"28","CR",40
"29","VLMC",3
"30","Micro-PVM",20
"31","CT SUB",3
"32","NP PPP",1
