"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",79.4854484885704,51.7647058823529,"Camkmt","Non-Neuronal_Astro_85_57638",0.551372221510904
"Calm1",968.387377350482,100,"Calm1","Non-Neuronal_Astro_85_57638",-2
"Calm2",863.616797785413,98.8235294117647,"Calm2","Non-Neuronal_Astro_85_57638",-2
"Calm3",701.837334035838,97.6470588235294,"Calm3","Non-Neuronal_Astro_85_57638",-1.51207048730342
"Actb",1916.98192378974,98.8235294117647,"Actb","Non-Neuronal_Astro_85_57638",0.135605137479669
"Camkmt1",71.872864788151,53.4031413612565,"Camkmt","Glutamatergic_CA2-IG-FC_191_57638",0.291845250381414
"Calm11",1443.90689140503,100,"Calm1","Glutamatergic_CA2-IG-FC_191_57638",-0.391393136749924
"Calm21",1303.58155723238,99.4764397905759,"Calm2","Glutamatergic_CA2-IG-FC_191_57638",-1.23022383886648
"Calm31",737.331198104693,100,"Calm3","Glutamatergic_CA2-IG-FC_191_57638",-1.22780355456038
"Actb1",1826.81582434767,98.4293193717278,"Actb","Glutamatergic_CA2-IG-FC_191_57638",0.0131678852444998
"Camkmt2",100.361765644434,71.4285714285714,"Camkmt","Glutamatergic_CR_7_57638",1.26308424636542
"Calm12",1503.20911268382,100,"Calm1","Glutamatergic_CR_7_57638",-0.182034742521299
"Calm22",1598.2013884009,100,"Calm2","Glutamatergic_CR_7_57638",-0.44865611864461
"Calm32",956.325879739568,100,"Calm3","Glutamatergic_CR_7_57638",0.52610372120481
"Actb2",1848.28724922316,100,"Actb","Glutamatergic_CR_7_57638",0.0423241011570947
"Camkmt3",0,0,"Camkmt","Glutamatergic_CT SUB_5_57638",-2
"Calm13",1959.7900666884,100,"Calm1","Glutamatergic_CT SUB_5_57638",1.42986196732356
"Calm23",2583.64215107254,100,"Calm2","Glutamatergic_CT SUB_5_57638",2
"Calm33",1237.28144308717,100,"Calm3","Glutamatergic_CT SUB_5_57638",2
"Actb3",2669.32972312142,100,"Actb","Glutamatergic_CT SUB_5_57638",1.15722410342518
"Camkmt4",76.8144420351943,63.6363636363636,"Camkmt","Non-Neuronal_Endo_22_57638",0.460312701906039
"Calm14",1782.90490518382,100,"Calm1","Non-Neuronal_Endo_22_57638",0.805393059129132
"Calm24",1781.18241891079,100,"Calm2","Non-Neuronal_Endo_22_57638",0.0367561032423323
"Calm34",1018.71728216846,100,"Calm3","Non-Neuronal_Endo_22_57638",1.02579044349553
"Actb4",1889.71878464616,100,"Actb","Non-Neuronal_Endo_22_57638",0.0985843074260287
"Camkmt5",0,0,"Camkmt","Glutamatergic_L2 IT ENTl_1_57638",-2
"Calm15",665.513110608279,100,"Calm1","Glutamatergic_L2 IT ENTl_1_57638",-2
"Calm25",1064.82097697325,100,"Calm2","Glutamatergic_L2 IT ENTl_1_57638",-1.8636080942707
"Calm35",931.718354851591,100,"Calm3","Glutamatergic_L2 IT ENTl_1_57638",0.329024428605578
