"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",64.6169172856602,53.5087719298246,"Camkmt","Non-Neuronal_Astro_114_51856",-0.206511626802462
"Calm1",1534.98035326339,100,"Calm1","Non-Neuronal_Astro_114_51856",-0.130423830972675
"Calm2",2079.29872667008,99.1228070175439,"Calm2","Non-Neuronal_Astro_114_51856",0.314547502968542
"Calm3",909.277847402066,98.2456140350877,"Calm3","Non-Neuronal_Astro_114_51856",0.0509670822295666
"Actb",914.87925930557,99.1228070175439,"Actb","Non-Neuronal_Astro_114_51856",-0.643875329291007
"Camkmt1",67.3366627978744,56.1583856843708,"Camkmt","Glutamatergic_Car3_5253_51856",-0.152083107289086
"Calm11",1604.6348100389,99.5050447363411,"Calm1","Glutamatergic_Car3_5253_51856",0.130262168056659
"Calm21",2224.5931041214,99.5431182181611,"Calm2","Glutamatergic_Car3_5253_51856",0.702496400569805
"Calm31",959.719800920816,99.3527508090615,"Calm3","Glutamatergic_Car3_5253_51856",0.508051950653022
"Actb1",888.117084668548,98.9910527317723,"Actb","Glutamatergic_Car3_5253_51856",-0.665062271642909
"Camkmt2",67.6532470972681,50,"Camkmt","Glutamatergic_CR_8_51856",-0.145747509109112
"Calm12",1707.81156168442,100,"Calm1","Glutamatergic_CR_8_51856",0.516407374328274
"Calm22",1734.5826019409,100,"Calm2","Glutamatergic_CR_8_51856",-0.60587517903692
"Calm32",827.042435608178,100,"Calm3","Glutamatergic_CR_8_51856",-0.694217427041771
"Actb2",1360.75816642689,100,"Actb","Glutamatergic_CR_8_51856",-0.29088418304687
"Camkmt3",85.2036200955341,80.9523809523809,"Camkmt","Non-Neuronal_Endo_21_51856",0.205476829680389
"Calm13",1751.5410388861,100,"Calm1","Non-Neuronal_Endo_21_51856",0.680067576116796
"Calm23",1846.08276398487,100,"Calm2","Non-Neuronal_Endo_21_51856",-0.308159839282573
"Calm33",853.273379516191,100,"Calm3","Non-Neuronal_Endo_21_51856",-0.456523073266191
"Actb3",1564.79867196588,100,"Actb","Non-Neuronal_Endo_21_51856",-0.129350433008222
"Camkmt4",54.6517274530265,59.7315436241611,"Camkmt","Glutamatergic_L2 IT ENTl_298_51856",-0.405938568339511
"Calm14",1833.84108622323,99.6644295302013,"Calm1","Glutamatergic_L2 IT ENTl_298_51856",0.988080459332381
"Calm24",2048.05002236607,100,"Calm2","Glutamatergic_L2 IT ENTl_298_51856",0.231110685943261
"Calm34",877.263416236221,99.3288590604027,"Calm3","Glutamatergic_L2 IT ENTl_298_51856",-0.239134926838191
"Actb4",1073.14848979773,100,"Actb","Glutamatergic_L2 IT ENTl_298_51856",-0.518577549570278
"Camkmt5",56.6301120140812,61.7507546356188,"Camkmt","Glutamatergic_L2/3 IT CTX_4638_51856",-0.366346429221075
"Calm15",1782.45824496128,99.8275118585597,"Calm1","Glutamatergic_L2/3 IT CTX_4638_51856",0.795777081667615
"Calm25",1968.19480265875,99.6765847347995,"Calm2","Glutamatergic_L2/3 IT CTX_4638_51856",0.0178901539681809
"Calm35",862.240991689582,99.353169469599,"Calm3","Glutamatergic_L2/3 IT CTX_4638_51856",-0.375262147699077
"Actb5",1146.37930628082,99.6765847347995,"Actb","Glutamatergic_L2/3 IT CTX_4638_51856",-0.460602549098399
