"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",63.8757306491109,39.041095890411,"Camkmt","Non-Neuronal_Astro_146_50530",-1.60413840871166
"Calm1",964.201362167097,98.6301369863014,"Calm1","Non-Neuronal_Astro_146_50530",-2
"Calm2",1052.36294423927,98.6301369863014,"Calm2","Non-Neuronal_Astro_146_50530",-2
"Calm3",836.370531037997,98.6301369863014,"Calm3","Non-Neuronal_Astro_146_50530",-0.397485117347117
"Actb",1744.40656306085,96.5753424657534,"Actb","Non-Neuronal_Astro_146_50530",0.622801758733829
"Camkmt1",104.572304245423,51.2061403508772,"Camkmt","Glutamatergic_CA1-ProS_2736_50530",0.712191354639152
"Calm11",1272.64260624801,99.4883040935673,"Calm1","Glutamatergic_CA1-ProS_2736_50530",0.581641411923685
"Calm21",1927.99879286995,99.5614035087719,"Calm2","Glutamatergic_CA1-ProS_2736_50530",-0.237308577334073
"Calm31",907.163971723135,98.2090643274854,"Calm3","Glutamatergic_CA1-ProS_2736_50530",0.628023111478195
"Actb1",1792.04121644719,97.6242690058479,"Actb","Glutamatergic_CA1-ProS_2736_50530",0.709267677164348
"Camkmt2",87.1163195125093,41.8604651162791,"Camkmt","Glutamatergic_CR_43_50530",-0.281352165425399
"Calm12",1119.22867539382,100,"Calm1","Glutamatergic_CR_43_50530",-0.807965269428614
"Calm22",1998.82113984126,97.6744186046512,"Calm2","Glutamatergic_CR_43_50530",0.103023234024856
"Calm32",900.347236670422,97.6744186046512,"Calm3","Glutamatergic_CR_43_50530",0.529276422199872
"Actb2",1938.45100980312,95.3488372093023,"Actb","Glutamatergic_CR_43_50530",0.975029183752177
"Camkmt3",96.1465592540421,48.5882352941177,"Camkmt","Glutamatergic_CT SUB_5100_50530",0.232622629872873
"Calm13",1258.97810080007,99.1764705882353,"Calm1","Glutamatergic_CT SUB_5100_50530",0.457869809422456
"Calm23",1926.4230854717,99.5294117647059,"Calm2","Glutamatergic_CT SUB_5100_50530",-0.24488052850415
"Calm33",900.252268164969,98.3921568627451,"Calm3","Glutamatergic_CT SUB_5100_50530",0.527900715879074
"Actb3",1616.81908434458,96.9607843137255,"Actb","Glutamatergic_CT SUB_5100_50530",0.391206318373173
"Camkmt4",112.152685108658,53.1914893617021,"Camkmt","Glutamatergic_DG_188_50530",1.14364442941681
"Calm14",1146.20819481893,99.468085106383,"Calm1","Glutamatergic_DG_188_50530",-0.563587720114406
"Calm24",1877.08317851168,99.468085106383,"Calm2","Glutamatergic_DG_188_50530",-0.481979984058575
"Calm34",848.356857704339,98.936170212766,"Calm3","Glutamatergic_DG_188_50530",-0.223852129449378
"Actb4",1458.20779081895,95.2127659574468,"Actb","Glutamatergic_DG_188_50530",0.103296777877197
"Camkmt5",86.3282499755978,44,"Camkmt","Non-Neuronal_Endo_25_50530",-0.326206775104474
"Calm15",1338.5896076903,96,"Calm1","Non-Neuronal_Endo_25_50530",1.17898217041357
"Calm25",2083.59937269068,96,"Calm2","Non-Neuronal_Endo_25_50530",0.510419074226846
"Calm35",940.3495394709,96,"Calm3","Non-Neuronal_Endo_25_50530",1.10874664284228
"Actb5",667.412393881989,92,"Actb","Non-Neuronal_Endo_25_50530",-1.33214665302618
"Camkmt6",66.4005252723048,36.734693877551,"Camkmt","Glutamatergic_L2 IT ENTm_98_50530",-1.46043449422334
"Calm16",1303.64402649505,98.9795918367347,"Calm1","Glutamatergic_L2 IT ENTm_98_50530",0.862448900962239
"Calm26",1975.52960972539,100,"Calm2","Glutamatergic_L2 IT ENTm_98_50530",-0.00890257714411377
