"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",87.2968525454191,60.3174603174603,"Camkmt","Non-Neuronal_Astro_126_47444",0.625846412718765
"Calm1",1424.52199491239,100,"Calm1","Non-Neuronal_Astro_126_47444",-0.275798343412983
"Calm2",1121.01294848567,100,"Calm2","Non-Neuronal_Astro_126_47444",-1.8254839629885
"Calm3",731.869393002831,100,"Calm3","Non-Neuronal_Astro_126_47444",-0.18868474649432
"Actb",2522.70798131672,99.2063492063492,"Actb","Non-Neuronal_Astro_126_47444",-0.330935598098684
"Camkmt1",80.0793342714002,57.6086956521739,"Camkmt","Glutamatergic_Car3_276_47444",0.33484397914324
"Calm11",1534.39271036947,99.2753623188406,"Calm1","Glutamatergic_Car3_276_47444",0.363583620063909
"Calm21",1247.13582293573,97.463768115942,"Calm2","Glutamatergic_Car3_276_47444",-0.811234573953928
"Calm31",725.921762163129,97.8260869565217,"Calm3","Glutamatergic_Car3_276_47444",-0.265660058238089
"Actb1",3118.59524311688,99.6376811594203,"Actb","Glutamatergic_Car3_276_47444",0.00810062602898388
"Camkmt2",63.7357964509871,50,"Camkmt","Glutamatergic_CR_24_47444",-0.324109569487758
"Calm12",1305.13008281076,100,"Calm1","Glutamatergic_CR_24_47444",-0.970587986542398
"Calm22",1377.09997866054,100,"Calm2","Glutamatergic_CR_24_47444",0.233905462023322
"Calm32",784.810560014548,95.8333333333333,"Calm3","Glutamatergic_CR_24_47444",0.496489391685701
"Actb2",2531.13294255614,100,"Actb","Glutamatergic_CR_24_47444",-0.326142129215986
"Camkmt3",77.3217888082791,55.5555555555556,"Camkmt","Non-Neuronal_Endo_27_47444",0.223662765601739
"Calm13",1658.81133962199,100,"Calm1","Non-Neuronal_Endo_27_47444",1.08762575571069
"Calm23",1426.51841755611,100,"Calm2","Non-Neuronal_Endo_27_47444",0.631316492143171
"Calm33",763.604733646539,100,"Calm3","Non-Neuronal_Endo_27_47444",0.222039759646418
"Actb3",4419.84298584281,100,"Actb","Non-Neuronal_Endo_27_47444",0.748458995187074
"Camkmt4",129.718510831496,100,"Camkmt","Glutamatergic_L2 IT ENTl_1_47444",2
"Calm14",1686.34064080944,100,"Calm1","Glutamatergic_L2 IT ENTl_1_47444",1.24782985170798
"Calm24",1686.34064080944,100,"Calm2","Glutamatergic_L2 IT ENTl_1_47444",2
"Calm34",518.874043325982,100,"Calm3","Glutamatergic_L2 IT ENTl_1_47444",-2
"Actb4",11026.0734206771,100,"Actb","Glutamatergic_L2 IT ENTl_1_47444",2
"Camkmt5",76.4098526298901,59.8943927583606,"Camkmt","Glutamatergic_L2/3 IT CTX_3977_47444",0.186894497465576
"Calm15",1480.62989269834,99.1702288156902,"Calm1","Glutamatergic_L2/3 IT CTX_3977_47444",0.0507161213713438
"Calm25",1312.48928040348,99.0696504903193,"Calm2","Glutamatergic_L2/3 IT CTX_3977_47444",-0.285678011776046
"Calm35",734.371179127946,98.0890118179532,"Calm3","Glutamatergic_L2/3 IT CTX_3977_47444",-0.156306178945797
"Actb5",3077.08513062863,99.7234096052301,"Actb","Glutamatergic_L2/3 IT CTX_3977_47444",-0.0155169820377089
"Camkmt6",73.8940872365873,63.6363636363636,"Camkmt","Glutamatergic_L2/3 IT ENTl_11_47444",0.0854615915882868
"Calm16",1480.34256246834,100,"Calm1","Glutamatergic_L2/3 IT ENTl_11_47444",0.049044030988941
"Calm26",1464.73520770041,100,"Calm2","Glutamatergic_L2/3 IT ENTl_11_47444",0.938646595613509
"Calm36",834.867242032621,100,"Calm3","Glutamatergic_L2/3 IT ENTl_11_47444",1.14433200449197
"Actb6",2836.33332786849,100,"Actb","Glutamatergic_L2/3 IT ENTl_11_47444",-0.152495211632927
"Camkmt7",0,0,"Camkmt","Glutamatergic_L2/3 IT RHP_2_47444",-2
"Calm17",1071.99347958011,100,"Calm1","Glutamatergic_L2/3 IT RHP_2_47444",-2
"Calm27",1331.40381110127,100,"Calm2","Glutamatergic_L2/3 IT RHP_2_47444",-0.13357197004683
"Calm37",821.36415687151,100,"Calm3","Glutamatergic_L2/3 IT RHP_2_47444",0.969572639327473
"Actb7",704.444563452369,100,"Actb","Glutamatergic_L2/3 IT RHP_2_47444",-1.36545538595233
"Camkmt8",71.0604703051513,59.1325109430959,"Camkmt","Glutamatergic_L4/5 IT CTX_5026_47444",-0.0287867402568838
"Calm18",1483.0822218842,99.5423796259451,"Calm1","Glutamatergic_L4/5 IT CTX_5026_47444",0.0649872130214239
"Calm28",1415.99270940009,99.3633107839236,"Calm2","Glutamatergic_L4/5 IT CTX_5026_47444",0.54667131486698
"Calm38",752.309102071301,98.9056904098687,"Calm3","Glutamatergic_L4/5 IT CTX_5026_47444",0.0758496571870336
"Actb8",2846.30277887945,99.641862315957,"Actb","Glutamatergic_L4/5 IT CTX_5026_47444",-0.146822989311591
"Camkmt9",69.8823925791123,58.592,"Camkmt","Glutamatergic_L5 IT CTX_3125_47444",-0.0762855441674388
"Calm19",1479.15102909962,99.648,"Calm1","Glutamatergic_L5 IT CTX_3125_47444",0.0421100182115849
"Calm29",1365.74671373012,99.456,"Calm2","Glutamatergic_L5 IT CTX_3125_47444",0.142605275047409
"Calm39",742.071605349678,99.232,"Calm3","Glutamatergic_L5 IT CTX_3125_47444",-0.0566458730268462
