"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",73.8757455156685,45.2380952380952,"Camkmt","Non-Neuronal_Astro_42_26946",0.485508596379604
"Calm1",910.792839919658,100,"Calm1","Non-Neuronal_Astro_42_26946",-2
"Calm2",926.554463362012,97.6190476190476,"Calm2","Non-Neuronal_Astro_42_26946",-2
"Calm3",607.116849699649,100,"Calm3","Non-Neuronal_Astro_42_26946",-1.86918802774779
"Actb",1387.91845205149,100,"Actb","Non-Neuronal_Astro_42_26946",-0.172761124134902
"Camkmt1",69.7868914546692,48.3516483516484,"Camkmt","Glutamatergic_Car3_182_26946",0.293731143550707
"Calm11",1390.29320725473,97.8021978021978,"Calm1","Glutamatergic_Car3_182_26946",-0.327778608158469
"Calm21",1688.63952462288,96.7032967032967,"Calm2","Glutamatergic_Car3_182_26946",-0.582063558831795
"Calm31",688.453820096822,95.0549450549451,"Calm3","Glutamatergic_Car3_182_26946",-1.12790577049893
"Actb1",2122.86204336018,98.9010989010989,"Actb","Glutamatergic_Car3_182_26946",0.33509323510896
"Camkmt2",0,0,"Camkmt","Glutamatergic_CR_1_26946",-2
"Calm12",964.066608238388,100,"Calm1","Glutamatergic_CR_1_26946",-2
"Calm22",1577.56354075372,100,"Calm2","Glutamatergic_CR_1_26946",-1.06177466247851
"Calm32",525.854513584575,100,"Calm3","Glutamatergic_CR_1_26946",-2
"Actb2",876.424189307625,100,"Actb","Glutamatergic_CR_1_26946",-0.526209462394642
"Camkmt3",40.914781215634,33.3333333333333,"Camkmt","Non-Neuronal_Endo_15_26946",-1.0604428320507
"Calm13",1580.9778912179,100,"Calm1","Non-Neuronal_Endo_15_26946",0.553878183050468
"Calm23",1917.49347848653,100,"Calm2","Non-Neuronal_Endo_15_26946",0.406302953511346
"Calm33",700.464632570895,100,"Calm3","Non-Neuronal_Endo_15_26946",-1.01844260585562
"Actb3",2137.61787953781,100,"Actb","Non-Neuronal_Endo_15_26946",0.345289685306936
"Camkmt4",64.1313124484861,43.9383938393839,"Camkmt","Glutamatergic_L2/3 IT CTX_4545_26946",0.0284703834703303
"Calm14",1445.35875025471,99.5159515951595,"Calm1","Glutamatergic_L2/3 IT CTX_4545_26946",-0.0731755171366673
"Calm24",1772.66080375503,99.7359735973597,"Calm2","Glutamatergic_L2/3 IT CTX_4545_26946",-0.21919537492477
"Calm34",783.618864178548,98.8998899889989,"Calm3","Glutamatergic_L2/3 IT CTX_4545_26946",-0.26059834137269
"Actb4",1599.87126453646,98.7018701870187,"Actb","Glutamatergic_L2/3 IT CTX_4545_26946",-0.0262993261854642
"Camkmt5",99.5845820324915,60,"Camkmt","Glutamatergic_L2/3 IT PPP_5_26946",1.69131714538562
"Calm15",1193.2315885879,100,"Calm1","Glutamatergic_L2/3 IT PPP_5_26946",-1.23892003165003
"Calm25",1695.8147264228,100,"Calm2","Glutamatergic_L2/3 IT PPP_5_26946",-0.551075546352162
"Calm35",776.304954975202,100,"Calm3","Glutamatergic_L2/3 IT PPP_5_26946",-0.327255251472669
"Actb5",4545.10855782795,100,"Actb","Glutamatergic_L2/3 IT PPP_5_26946",2
"Camkmt6",68.7781537315357,50.45999442431,"Camkmt","Glutamatergic_L4/5 IT CTX_10761_26946",0.246418828601588
"Calm16",1537.20305289434,99.4145525508782,"Calm1","Glutamatergic_L4/5 IT CTX_10761_26946",0.351479213768331
"Calm26",1945.2097207303,99.4796022674473,"Calm2","Glutamatergic_L4/5 IT CTX_10761_26946",0.526002898472977
"Calm36",850.551565002622,99.1078896013382,"Calm3","Glutamatergic_L4/5 IT CTX_10761_26946",0.349407456831433
"Actb6",1381.7118887561,98.5596134188272,"Actb","Glutamatergic_L4/5 IT CTX_10761_26946",-0.177049929783069
"Camkmt7",71.8376999517005,45.6423499031633,"Camkmt","Glutamatergic_L5 IT CTX_1549_26946",0.389919176660504
"Calm17",1449.32460662895,99.5480955455132,"Calm1","Glutamatergic_L5 IT CTX_1549_26946",-0.0548388362211535
"Calm27",1995.11017037061,99.8063266623628,"Calm2","Glutamatergic_L5 IT CTX_1549_26946",0.741511228316966
"Calm37",854.457069322288,99.0961910910265,"Calm3","Glutamatergic_L5 IT CTX_1549_26946",0.385001124060991
"Actb7",1538.18589695566,98.5797288573273,"Actb","Glutamatergic_L5 IT CTX_1549_26946",-0.0689246149803301
"Camkmt8",61.5640488835381,39.5498392282958,"Camkmt","Glutamatergic_L5 PT CTX_311_26946",-0.0919406803341407
"Calm18",1448.78522195897,99.6784565916399,"Calm1","Glutamatergic_L5 PT CTX_311_26946",-0.0573327552264839
"Calm28",2040.88479351345,99.6784565916399,"Calm2","Glutamatergic_L5 PT CTX_311_26946",0.939201081892584
