"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",45.9466584333974,33.6206896551724,"Camkmt","Non-Neuronal_Astro_116_45437",-0.893932932923368
"Calm1",1591.03884914753,100,"Calm1","Non-Neuronal_Astro_116_45437",-1.32209526383905
"Calm2",1943.30210385077,100,"Calm2","Non-Neuronal_Astro_116_45437",-1.25285287274514
"Calm3",738.99831239107,99.1379310344828,"Calm3","Non-Neuronal_Astro_116_45437",-0.296143580833298
"Actb",674.027868537586,96.551724137931,"Actb","Non-Neuronal_Astro_116_45437",-0.528127212139251
"Camkmt1",100.82677959266,33.3333333333333,"Camkmt","Glutamatergic_CR_3_45437",1.27410328524958
"Calm11",1563.24197107846,100,"Calm1","Glutamatergic_CR_3_45437",-1.42652330575824
"Calm21",1583.72885147812,100,"Calm2","Glutamatergic_CR_3_45437",-2
"Calm31",908.646212212314,100,"Calm3","Glutamatergic_CR_3_45437",0.963406197615702
"Actb1",369.840487637164,100,"Actb","Glutamatergic_CR_3_45437",-1.47016534629608
"Camkmt2",69.0823756482171,28.5714285714286,"Camkmt","Glutamatergic_CT SUB_7_45437",0.0200423243391777
"Calm12",1274.77546938841,100,"Calm1","Glutamatergic_CT SUB_7_45437",-2
"Calm22",2572.56840745095,100,"Calm2","Glutamatergic_CT SUB_7_45437",0.546103456523426
"Calm32",505.780730304801,100,"Calm3","Glutamatergic_CT SUB_7_45437",-2
"Actb2",459.932536241411,71.4285714285714,"Actb","Glutamatergic_CT SUB_7_45437",-1.19115921159619
"Camkmt3",152.415790275873,100,"Camkmt","Glutamatergic_DG_1_45437",2
"Calm13",1676.5736930346,100,"Calm1","Glutamatergic_DG_1_45437",-1.00075571481501
"Calm23",2286.23685413809,100,"Calm2","Glutamatergic_DG_1_45437",-0.272465656671524
"Calm33",609.66316110349,100,"Calm3","Glutamatergic_DG_1_45437",-1.25639160819815
"Actb3",304.831580551745,100,"Actb","Glutamatergic_DG_1_45437",-1.67149148071048
"Camkmt4",100.070391262032,48,"Camkmt","Non-Neuronal_Endo_25_45437",1.24422220515783
"Calm14",1524.77164103939,100,"Calm1","Non-Neuronal_Endo_25_45437",-1.57104965249339
"Calm24",2350.00806895297,100,"Calm2","Non-Neuronal_Endo_25_45437",-0.0901555125242516
"Calm34",651.617786166313,96,"Calm3","Non-Neuronal_Endo_25_45437",-0.944899755021833
"Actb4",701.707405650313,84,"Actb","Non-Neuronal_Endo_25_45437",-0.442406432339599
"Camkmt5",66.2741315915419,40.7361528932932,"Camkmt","Glutamatergic_L2/3 IT CTX_5651_45437",-0.0908972052342413
"Calm15",1939.06713196167,99.6106883737392,"Calm1","Glutamatergic_L2/3 IT CTX_5651_45437",-0.0146134661898636
"Calm25",2288.66088253551,99.3275526455495,"Calm2","Glutamatergic_L2/3 IT CTX_5651_45437",-0.265535806458794
"Calm35",789.071103075205,97.2040346841267,"Calm3","Glutamatergic_L2/3 IT CTX_5651_45437",0.075621542572185
"Actb5",719.326693544731,96.5669792956999,"Actb","Glutamatergic_L2/3 IT CTX_5651_45437",-0.387841246091247
"Camkmt6",59.5422916762047,37.7990086919043,"Camkmt","Glutamatergic_L2/3 IT PPP_13921_45437",-0.356838176994105
"Calm16",1937.51333001377,99.6911141440988,"Calm1","Glutamatergic_L2/3 IT PPP_13921_45437",-0.020450830175354
"Calm26",2379.99976823774,99.7916816320667,"Calm2","Glutamatergic_L2/3 IT PPP_13921_45437",-0.00441477454863458
"Calm36",795.322684850312,98.1107679046046,"Calm3","Glutamatergic_L2/3 IT PPP_13921_45437",0.122036372629546
"Actb6",946.915968879367,97.306228000862,"Actb","Glutamatergic_L2/3 IT PPP_13921_45437",0.316980155952812
"Camkmt7",57.8356628965376,36.7360644728005,"Camkmt","Glutamatergic_L4 RSP-ACA_2978_45437",-0.424258454630831
"Calm17",1902.21842694558,99.6977837474815,"Calm1","Glutamatergic_L4 RSP-ACA_2978_45437",-0.153047649428951
"Calm27",2395.43596963494,99.8656816655473,"Calm2","Glutamatergic_L4 RSP-ACA_2978_45437",0.0397144789080879
"Calm37",825.929703299755,98.1195433176629,"Calm3","Glutamatergic_L4 RSP-ACA_2978_45437",0.349277990990875
"Actb7",855.800310921479,96.8770987239758,"Actb","Glutamatergic_L4 RSP-ACA_2978_45437",0.0348040046573721
"Camkmt8",54.7578302029831,35.5302413886629,"Camkmt","Glutamatergic_L4/5 IT CTX_3687_45437",-0.545848068723306
"Calm18",1986.94330809892,99.8643883916463,"Calm1","Glutamatergic_L4/5 IT CTX_3687_45437",0.165249010314455
"Calm28",2481.71208610205,99.7830214266341,"Calm2","Glutamatergic_L4/5 IT CTX_3687_45437",0.286361987117637
"Calm38",828.546293706701,98.15568212639,"Calm3","Glutamatergic_L4/5 IT CTX_3687_45437",0.368704850214203
"Actb8",661.823250867921,96.419853539463,"Actb","Glutamatergic_L4/5 IT CTX_3687_45437",-0.565923701998876
"Camkmt9",51.934146225495,34.025974025974,"Camkmt","Glutamatergic_L5 IT CTX_3465_45437",-0.657397551533362
"Calm19",2049.3487109198,99.6536796536796,"Calm1","Glutamatergic_L5 IT CTX_3465_45437",0.399695267393062
"Calm29",2462.97076689088,99.5382395382395,"Calm2","Glutamatergic_L5 IT CTX_3465_45437",0.23278401127356
"Calm39",807.06265689298,98.0663780663781,"Calm3","Glutamatergic_L5 IT CTX_3465_45437",0.209199722137088
"Actb9",971.768485010447,98.5281385281385,"Actb","Glutamatergic_L5 IT CTX_3465_45437",0.39394593229739
"Camkmt10",105.252078728555,100,"Camkmt","Glutamatergic_L5 PPP_1_45437",1.4489244882682
"Calm110",2736.55404694243,100,"Calm1","Glutamatergic_L5 PPP_1_45437",2
"Calm210",3789.07483422798,100,"Calm2","Glutamatergic_L5 PPP_1_45437",2
"Calm310",1368.27702347121,100,"Calm3","Glutamatergic_L5 PPP_1_45437",2
"Actb10",526.260393642774,100,"Actb","Glutamatergic_L5 PPP_1_45437",-0.985748418932652
"Camkmt11",55.9359252686413,35.7568533969011,"Camkmt","Glutamatergic_L5 PT CTX_839_45437",-0.499307486872446
"Calm111",2017.8323445415,99.761620977354,"Calm1","Glutamatergic_L5 PT CTX_839_45437",0.28129375406068
"Calm211",2345.80562139105,99.642431466031,"Calm2","Glutamatergic_L5 PT CTX_839_45437",-0.10216953519904
"Calm311",797.737235789674,98.569725864124,"Calm3","Glutamatergic_L5 PT CTX_839_45437",0.139963191080774
"Actb11",1085.12985884142,98.0929678188319,"Actb","Glutamatergic_L5 PT CTX_839_45437",0.745014858210985
"Camkmt12",37.7592406492117,37.5,"Camkmt","Glutamatergic_L5/6 IT TPE-ENT_16_45437",-1.21737642966631
"Calm112",1674.45773504409,100,"Calm1","Glutamatergic_L5/6 IT TPE-ENT_16_45437",-1.00870500139254
"Calm212",2045.37897958306,100,"Calm2","Glutamatergic_L5/6 IT TPE-ENT_16_45437",-0.961033907356444
"Calm312",733.490755480385,100,"Calm3","Glutamatergic_L5/6 IT TPE-ENT_16_45437",-0.337034402906298
"Actb12",1830.89724256188,100,"Actb","Glutamatergic_L5/6 IT TPE-ENT_16_45437",2
"Camkmt13",59.4244862540745,38.8007054673721,"Camkmt","Glutamatergic_L5/6 NP CTX_1701_45437",-0.361492073823784
"Calm113",1757.89936918173,99.8236331569665,"Calm1","Glutamatergic_L5/6 NP CTX_1701_45437",-0.695229277756219
