"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",72.728226945957,44.5086705202312,"Camkmt","Non-Neuronal_Astro_346_43071",-0.0838580454762924
"Calm1",1268.39893302422,92.1965317919075,"Calm1","Non-Neuronal_Astro_346_43071",-1.79630881368564
"Calm2",1646.83694988346,93.3526011560694,"Calm2","Non-Neuronal_Astro_346_43071",-0.777136693759037
"Calm3",742.845278294728,88.4393063583815,"Calm3","Non-Neuronal_Astro_346_43071",-1.43536696032704
"Actb",1647.41313952507,95.9537572254335,"Actb","Non-Neuronal_Astro_346_43071",0.120436454643762
"Camkmt1",78.8764991456068,45.9183673469388,"Camkmt","Glutamatergic_Car3_196_43071",0.0806502283238616
"Calm11",1574.1913541503,99.4897959183673,"Calm1","Glutamatergic_Car3_196_43071",0.411492252878826
"Calm21",2059.13658028193,99.4897959183673,"Calm2","Glutamatergic_Car3_196_43071",0.200843520507095
"Calm31",901.530804004427,97.9591836734694,"Calm3","Glutamatergic_Car3_196_43071",0.809555429791787
"Actb1",1422.02514526767,98.469387755102,"Actb","Glutamatergic_Car3_196_43071",-0.42230299494538
"Camkmt2",81.8933748259765,100,"Camkmt","Glutamatergic_CR_1_43071",0.16137225791708
"Calm12",982.720497911719,100,"Calm1","Glutamatergic_CR_1_43071",-2
"Calm22",941.773810498731,100,"Calm2","Glutamatergic_CR_1_43071",-2
"Calm32",696.093686020801,100,"Calm3","Glutamatergic_CR_1_43071",-2
"Actb2",2415.85455736631,100,"Actb","Glutamatergic_CR_1_43071",1.97086097940506
"Camkmt3",60.7645006860805,38.5416666666667,"Camkmt","Non-Neuronal_Endo_96_43071",-0.403969434712112
"Calm13",1506.83045762954,97.9166666666667,"Calm1","Non-Neuronal_Endo_96_43071",-0.0748489672064188
"Calm23",2068.07294821207,96.875,"Calm2","Non-Neuronal_Endo_96_43071",0.222040704250937
"Calm33",865.54259619226,97.9166666666667,"Calm3","Non-Neuronal_Endo_96_43071",0.300430648962169
"Actb3",1673.09305763916,96.875,"Actb","Non-Neuronal_Endo_96_43071",0.182274285308416
"Camkmt4",64.9231714173838,39.2930327868852,"Camkmt","Glutamatergic_L2/3 IT CTX_5856_43071",-0.292696589090717
"Calm14",1549.02672392462,98.7704918032787,"Calm1","Glutamatergic_L2/3 IT CTX_5856_43071",0.229805286120903
"Calm24",2065.68494591903,99.1120218579235,"Calm2","Glutamatergic_L2/3 IT CTX_5856_43071",0.216376331008709
"Calm34",896.417073503705,98.0874316939891,"Calm3","Glutamatergic_L2/3 IT CTX_5856_43071",0.737211540538098
"Actb4",1464.99192078493,97.3872950819672,"Actb","Glutamatergic_L2/3 IT CTX_5856_43071",-0.318838015935776
"Camkmt5",239.779402949287,100,"Camkmt","Glutamatergic_L2/3 IT PPP_1_43071",2
"Calm15",1678.45582064501,100,"Calm1","Glutamatergic_L2/3 IT PPP_1_43071",1.1642748087188
"Calm25",3596.6910442393,100,"Calm2","Glutamatergic_L2/3 IT PPP_1_43071",2
"Calm35",839.227910322503,100,"Calm3","Glutamatergic_L2/3 IT PPP_1_43071",-0.0718429231469317
"Actb5",359.66910442393,100,"Actb","Glutamatergic_L2/3 IT PPP_1_43071",-2
"Camkmt6",63.9248341381376,42.7415413023407,"Camkmt","Glutamatergic_L4/5 IT CTX_18413_43071",-0.319408929915265
"Calm16",1551.56723924559,98.7943300928692,"Calm1","Glutamatergic_L4/5 IT CTX_18413_43071",0.248147638801185
"Calm26",1956.919873337,98.6965730733721,"Calm2","Glutamatergic_L4/5 IT CTX_18413_43071",-0.0416158696770995
"Calm36",845.278336708723,97.7461576060392,"Calm3","Glutamatergic_L4/5 IT CTX_18413_43071",0.0137523925155669
"Actb6",1665.02886269763,98.6096779449302,"Actb","Glutamatergic_L4/5 IT CTX_18413_43071",0.162855519289563
"Camkmt7",61.8355613635275,42.52352736145,"Camkmt","Glutamatergic_L5 IT CTX_2869_43071",-0.375311246287717
"Calm17",1538.30580644308,99.0240501917044,"Calm1","Glutamatergic_L5 IT CTX_2869_43071",0.152400970594913
"Calm27",1893.2604521028,99.3726036946671,"Calm2","Glutamatergic_L5 IT CTX_2869_43071",-0.192616864653768
"Calm37",832.239853767411,98.4663645869641,"Calm3","Glutamatergic_L5 IT CTX_2869_43071",-0.170702882514879
"Actb7",1471.36543250417,98.6754966887417,"Actb","Glutamatergic_L5 IT CTX_2869_43071",-0.303490453818076
"Camkmt8",73.1020954213668,46.3054187192118,"Camkmt","Glutamatergic_L5 PT CTX_203_43071",-0.073854510251964
