"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt",78.3124307916493,61.0294117647059,"Camkmt","Non-Neuronal_Astro_272_46339",0.569963664401815
"Calm1",1515.22343328111,100,"Calm1","Non-Neuronal_Astro_272_46339",0.514739505958295
"Calm2",1631.29807732006,100,"Calm2","Non-Neuronal_Astro_272_46339",-0.793019090755159
"Calm3",796.136667034896,98.5294117647059,"Calm3","Non-Neuronal_Astro_272_46339",-0.261862070218017
"Actb",945.668475021473,97.7941176470588,"Actb","Non-Neuronal_Astro_272_46339",-0.75840066479586
"Camkmt1",72.8647980526076,51.1836212412028,"Camkmt","Glutamatergic_Car3_3126_46339",0.288088312309753
"Calm11",1532.19529581143,99.0722968650032,"Calm1","Glutamatergic_Car3_3126_46339",0.634429672456552
"Calm21",1744.06765319997,98.9443378119002,"Calm2","Glutamatergic_Car3_3126_46339",-0.0422159818434472
"Calm31",834.93289515421,98.3045425463852,"Calm3","Glutamatergic_Car3_3126_46339",0.233505666436656
"Actb1",1092.09912471401,98.0486244401791,"Actb","Glutamatergic_Car3_3126_46339",-0.651935036143715
"Camkmt2",0,0,"Camkmt","Glutamatergic_CR_1_46339",-2
"Calm12",828.27167310878,100,"Calm1","Glutamatergic_CR_1_46339",-2
"Calm22",1242.40750966317,100,"Calm2","Glutamatergic_CR_1_46339",-2
"Calm32",552.181115405853,100,"Calm3","Glutamatergic_CR_1_46339",-2
"Actb2",414.13583655439,100,"Actb","Glutamatergic_CR_1_46339",-1.14486317535873
"Camkmt3",76.3565232434119,56.25,"Camkmt","Non-Neuronal_Endo_64_46339",0.468759681822784
"Calm13",1437.78206814823,100,"Calm1","Non-Neuronal_Endo_64_46339",-0.0313979536192538
"Calm23",1724.37659660504,100,"Calm2","Non-Neuronal_Endo_64_46339",-0.173316115845637
"Calm33",863.297945228396,100,"Calm3","Non-Neuronal_Endo_64_46339",0.595683417637967
"Actb3",1361.43742304273,98.4375,"Actb","Non-Neuronal_Endo_64_46339",-0.45610669479663
"Camkmt4",7.52989367790127,8.33333333333333,"Camkmt","Glutamatergic_L2 IT ENTl_12_46339",-2
"Calm14",1382.02641406535,100,"Calm1","Glutamatergic_L2 IT ENTl_12_46339",-0.424601911551372
"Calm24",1614.2630250695,91.6666666666667,"Calm2","Glutamatergic_L2 IT ENTl_12_46339",-0.906435941802054
"Calm34",890.054277531709,91.6666666666667,"Calm3","Glutamatergic_L2 IT ENTl_12_46339",0.937320334853492
"Actb4",3085.56373375126,100,"Actb","Glutamatergic_L2 IT ENTl_12_46339",0.797457309260629
"Camkmt5",73.0760083769796,49.5074276778733,"Camkmt","Glutamatergic_L2/3 IT CTX_6395_46339",0.299016909628949
"Calm15",1536.87980813283,98.9992181391712,"Calm1","Glutamatergic_L2/3 IT CTX_6395_46339",0.667466120796273
"Calm25",1747.13260229831,98.9053948397185,"Calm2","Glutamatergic_L2/3 IT CTX_6395_46339",-0.0218100053756671
"Calm35",830.909271212259,98.2486317435497,"Calm3","Glutamatergic_L2/3 IT CTX_6395_46339",0.182130221402566
"Actb5",1094.14171363671,98.1860828772479,"Actb","Glutamatergic_L2/3 IT CTX_6395_46339",-0.650449926884218
"Camkmt6",79.2474918848069,50,"Camkmt","Glutamatergic_L2/3 IT ENTl_20_46339",0.618346271579504
"Calm16",1521.03801934174,100,"Calm1","Glutamatergic_L2/3 IT ENTl_20_46339",0.555745540061651
"Calm26",2060.87305529608,100,"Calm2","Glutamatergic_L2/3 IT ENTl_20_46339",2
"Calm36",832.459354757408,100,"Calm3","Glutamatergic_L2/3 IT ENTl_20_46339",0.201922387151898
"Actb6",525.743890269326,100,"Actb","Glutamatergic_L2/3 IT ENTl_20_46339",-1.06371608199848
"Camkmt7",72.4647391063813,49.2059164337809,"Camkmt","Glutamatergic_L4/5 IT CTX_14671_46339",0.267388173051663
"Calm17",1539.04907459054,98.9775748074433,"Calm1","Glutamatergic_L4/5 IT CTX_14671_46339",0.682764374776296
"Calm27",1779.4164124402,98.8889646240883,"Calm2","Glutamatergic_L4/5 IT CTX_14671_46339",0.193130813838387
"Calm37",836.81673281097,98.2277963329016,"Calm3","Glutamatergic_L4/5 IT CTX_14671_46339",0.257559355196926
"Actb7",1133.92813952599,98.2550610047032,"Actb","Glutamatergic_L4/5 IT CTX_14671_46339",-0.621522329738276
"Camkmt8",68.4008684945552,49.7838171710933,"Camkmt","Glutamatergic_L5 IT CTX_1619_46339",0.0571124414746168
"Calm18",1450.68527178096,99.2588017294626,"Calm1","Glutamatergic_L5 IT CTX_1619_46339",0.0595989295103286
"Calm28",1760.3057541362,99.1352686843731,"Calm2","Glutamatergic_L5 IT CTX_1619_46339",0.0658948855657652
